"","Survived","Pclass","Sex","Age","Fare","Family_size","Title"
"1","0","3","male",22,7.25,1,"Mr"
"2","1","1","female",38,71.2833,1,"Mrs"
"3","1","3","female",26,7.925,0,"Miss"
"4","1","1","female",35,53.1,1,"Mrs"
"5","0","3","male",35,8.05,0,"Mr"
"6","0","3","male",29.6991176470588,8.4583,0,"Mr"
"7","0","1","male",54,51.8625,0,"Mr"
"8","0","3","male",2,21.075,4,"Master"
"9","1","3","female",27,11.1333,2,"Mrs"
"10","1","2","female",14,30.0708,1,"Mrs"
"11","1","3","female",4,16.7,2,"Miss"
"12","1","1","female",58,26.55,0,"Miss"
"13","0","3","male",20,8.05,0,"Mr"
"14","0","3","male",39,31.275,6,"Mr"
"15","0","3","female",14,7.8542,0,"Miss"
"16","1","2","female",55,16,0,"Mrs"
"17","0","3","male",2,29.125,5,"Master"
"18","1","2","male",29.6991176470588,13,0,"Mr"
"19","0","3","female",31,18,1,"Mrs"
"20","1","3","female",29.6991176470588,7.225,0,"Mrs"
"21","0","2","male",35,26,0,"Mr"
"22","1","2","male",34,13,0,"Mr"
"23","1","3","female",15,8.0292,0,"Miss"
"24","1","1","male",28,35.5,0,"Mr"
"25","0","3","female",8,21.075,4,"Miss"
"26","1","3","female",38,31.3875,6,"Mrs"
"27","0","3","male",29.6991176470588,7.225,0,"Mr"
"28","0","1","male",19,263,5,"Mr"
"29","1","3","female",29.6991176470588,7.8792,0,"Miss"
"30","0","3","male",29.6991176470588,7.8958,0,"Mr"
"31","0","1","male",40,27.7208,0,"Noble male"
"32","1","1","female",29.6991176470588,146.5208,1,"Mrs"
"33","1","3","female",29.6991176470588,7.75,0,"Miss"
"34","0","2","male",66,10.5,0,"Mr"
"35","0","1","male",28,82.1708,1,"Mr"
"36","0","1","male",42,52,1,"Mr"
"37","1","3","male",29.6991176470588,7.2292,0,"Mr"
"38","0","3","male",21,8.05,0,"Mr"
"39","0","3","female",18,18,2,"Miss"
"40","1","3","female",14,11.2417,1,"Miss"
"41","0","3","female",40,9.475,1,"Mrs"
"42","0","2","female",27,21,1,"Mrs"
"43","0","3","male",29.6991176470588,7.8958,0,"Mr"
"44","1","2","female",3,41.5792,3,"Miss"
"45","1","3","female",19,7.8792,0,"Miss"
"46","0","3","male",29.6991176470588,8.05,0,"Mr"
"47","0","3","male",29.6991176470588,15.5,1,"Mr"
"48","1","3","female",29.6991176470588,7.75,0,"Miss"
"49","0","3","male",29.6991176470588,21.6792,2,"Mr"
"50","0","3","female",18,17.8,1,"Mrs"
"51","0","3","male",7,39.6875,5,"Master"
"52","0","3","male",21,7.8,0,"Mr"
"53","1","1","female",49,76.7292,1,"Mrs"
"54","1","2","female",29,26,1,"Mrs"
"55","0","1","male",65,61.9792,1,"Mr"
"56","1","1","male",29.6991176470588,35.5,0,"Mr"
"57","1","2","female",21,10.5,0,"Miss"
"58","0","3","male",28.5,7.2292,0,"Mr"
"59","1","2","female",5,27.75,3,"Miss"
"60","0","3","male",11,46.9,7,"Master"
"61","0","3","male",22,7.2292,0,"Mr"
"62","1","1","female",38,80,0,"Miss"
"63","0","1","male",45,83.475,1,"Mr"
"64","0","3","male",4,27.9,5,"Master"
"65","0","1","male",29.6991176470588,27.7208,0,"Mr"
"66","1","3","male",29.6991176470588,15.2458,2,"Master"
"67","1","2","female",29,10.5,0,"Mrs"
"68","0","3","male",19,8.1583,0,"Mr"
"69","1","3","female",17,7.925,6,"Miss"
"70","0","3","male",26,8.6625,2,"Mr"
"71","0","2","male",32,10.5,0,"Mr"
"72","0","3","female",16,46.9,7,"Miss"
"73","0","2","male",21,73.5,0,"Mr"
"74","0","3","male",26,14.4542,1,"Mr"
"75","1","3","male",32,56.4958,0,"Mr"
"76","0","3","male",25,7.65,0,"Mr"
"77","0","3","male",29.6991176470588,7.8958,0,"Mr"
"78","0","3","male",29.6991176470588,8.05,0,"Mr"
"79","1","2","male",0.83,29,2,"Master"
"80","1","3","female",30,12.475,0,"Miss"
"81","0","3","male",22,9,0,"Mr"
"82","1","3","male",29,9.5,0,"Mr"
"83","1","3","female",29.6991176470588,7.7875,0,"Miss"
"84","0","1","male",28,47.1,0,"Mr"
"85","1","2","female",17,10.5,0,"Miss"
"86","1","3","female",33,15.85,3,"Mrs"
"87","0","3","male",16,34.375,4,"Mr"
"88","0","3","male",29.6991176470588,8.05,0,"Mr"
"89","1","1","female",23,263,5,"Miss"
"90","0","3","male",24,8.05,0,"Mr"
"91","0","3","male",29,8.05,0,"Mr"
"92","0","3","male",20,7.8542,0,"Mr"
"93","0","1","male",46,61.175,1,"Mr"
"94","0","3","male",26,20.575,3,"Mr"
"95","0","3","male",59,7.25,0,"Mr"
"96","0","3","male",29.6991176470588,8.05,0,"Mr"
"97","1","1","male",23,63.3583,1,"Mr"
"98","1","2","female",34,23,1,"Mrs"
"99","0","2","male",34,26,1,"Mr"
"100","0","3","female",28,7.8958,0,"Miss"
"101","0","3","male",29.6991176470588,7.8958,0,"Mr"
"102","0","1","male",21,77.2875,1,"Mr"
"103","0","3","male",33,8.6542,0,"Mr"
"104","0","3","male",37,7.925,2,"Mr"
"105","0","3","male",28,7.8958,0,"Mr"
"106","1","3","female",21,7.65,0,"Miss"
"107","1","3","male",29.6991176470588,7.775,0,"Mr"
"108","0","3","male",38,7.8958,0,"Mr"
"109","1","3","female",29.6991176470588,24.15,1,"Miss"
"110","0","1","male",47,52,0,"Mr"
"111","0","3","female",14.5,14.4542,1,"Miss"
"112","0","3","male",22,8.05,0,"Mr"
"113","0","3","female",20,9.825,1,"Miss"
"114","0","3","female",17,14.4583,0,"Miss"
"115","0","3","male",21,7.925,0,"Mr"
"116","0","2","male",29,21,1,"Mr"
"117","0","1","male",24,247.5208,1,"Mr"
"118","0","3","female",2,31.275,6,"Miss"
"119","0","2","male",21,73.5,2,"Mr"
"120","0","3","male",29.6991176470588,8.05,0,"Mr"
"121","0","2","male",32.5,30.0708,1,"Mr"
"122","1","2","female",32.5,13,0,"Miss"
"123","0","1","male",54,77.2875,1,"Mr"
"124","1","3","male",12,11.2417,1,"Master"
"125","0","3","male",29.6991176470588,7.75,0,"Mr"
"126","1","3","male",24,7.1417,0,"Mr"
"127","1","3","female",29.6991176470588,22.3583,2,"Miss"
"128","0","3","male",45,6.975,0,"Mr"
"129","0","3","male",33,7.8958,0,"Mr"
"130","0","3","male",20,7.05,0,"Mr"
"131","0","3","female",47,14.5,1,"Mrs"
"132","1","2","female",29,26,1,"Mrs"
"133","0","2","male",25,13,0,"Mr"
"134","0","2","male",23,15.0458,0,"Mr"
"135","1","1","female",19,26.2833,2,"Miss"
"136","0","1","male",37,53.1,1,"Mr"
"137","0","3","male",16,9.2167,0,"Mr"
"138","0","1","male",24,79.2,0,"Mr"
"139","0","3","female",29.6991176470588,15.2458,2,"Mrs"
"140","1","3","female",22,7.75,0,"Miss"
"141","1","3","female",24,15.85,1,"Mrs"
"142","0","3","male",19,6.75,0,"Mr"
"143","0","2","male",18,11.5,0,"Mr"
"144","0","2","male",19,36.75,2,"Mr"
"145","1","3","male",27,7.7958,0,"Mr"
"146","0","3","female",9,34.375,4,"Miss"
"147","0","2","male",36.5,26,2,"Mr"
"148","0","2","male",42,13,0,"Noble male"
"149","0","2","male",51,12.525,0,"Noble male"
"150","1","1","female",22,66.6,1,"Mrs"
"151","0","3","male",55.5,8.05,0,"Mr"
"152","0","3","male",40.5,14.5,2,"Mr"
"153","0","3","male",29.6991176470588,7.3125,0,"Mr"
"154","0","1","male",51,61.3792,1,"Mr"
"155","1","3","female",16,7.7333,0,"Miss"
"156","0","3","male",30,8.05,0,"Mr"
"157","0","3","male",29.6991176470588,8.6625,0,"Mr"
"158","0","3","male",29.6991176470588,69.55,10,"Master"
"159","0","3","male",44,16.1,1,"Mr"
"160","1","2","female",40,15.75,0,"Mrs"
"161","0","3","male",26,7.775,0,"Mr"
"162","0","3","male",17,8.6625,0,"Mr"
"163","0","3","male",1,39.6875,5,"Master"
"164","1","3","male",9,20.525,2,"Master"
"165","1","1","female",29.6991176470588,55,1,"Mrs"
"166","0","3","female",45,27.9,5,"Mrs"
"167","0","1","male",29.6991176470588,25.925,0,"Mr"
"168","0","3","male",28,56.4958,0,"Mr"
"169","0","1","male",61,33.5,0,"Mr"
"170","0","3","male",4,29.125,5,"Master"
"171","1","3","female",1,11.1333,2,"Miss"
"172","0","3","male",21,7.925,0,"Mr"
"173","0","1","male",56,30.6958,0,"Mr"
"174","0","3","male",18,7.8542,2,"Mr"
"175","0","3","male",29.6991176470588,25.4667,4,"Master"
"176","0","1","female",50,28.7125,0,"Miss"
"177","0","2","male",30,13,0,"Mr"
"178","0","3","male",36,0,0,"Mr"
